武將编号,武將,容貌,性別,生年,登場年,仕官年,卒年,死因,相性,势力,军团,所属,所在,身份,官职,忠诚,lp12A,统率,武力,智力,政治,魅力,伤病,主义,政策,政策等级,声音,语调,lp117,配偶,義兄,血缘,父亲,母亲,世代
374,州泰,344,男,207,226,0,261,0,41,,,新野,新野,未登场,无,0,,71,63,73,64,65,健康,霸道,开发运输,3,威严男,威严男,0,,,州泰,,,1
650,张特,632,男,209,228,0,265,0,39,,,蓟,蓟,未登场,无,0,,71,53,74,67,69,健康,王道,工法改革,3,普通男,普通男,0,,,张特,,,1
965,留略,423,男,212,226,0,279,0,129,,,会稽,会稽,未登场,无,0,,71,66,59,47,52,健康,霸道,强化雁行,3,勇将男,勇将男,0,,,留賛,留賛,,2
833,步协,639,男,216,230,0,264,0,121,,,广陵,广陵,未登场,无,0,,71,49,69,65,67,健康,割据,工法改革,3,恭敬男,恭敬男,0,,,步骘,步骘,,2
313,胡奋,208,男,222,236,0,288,0,20,,,安定,安定,未登场,无,0,,71,76,50,52,52,健康,王道,军制改革,3,威严男,威严男,0,,,胡遵,胡遵,,2
689,程昱,106,男,141,184,199,220,0,24,曹操,曹操,濮阳,濮阳,普通,太史令,120,,70,49,92,80,57,健康,名利,侵略荒废,5,策士男,策士男,0,,,程昱,,,1
958,刘辟,257,男,145,184,190,201,1,74,孔伷,孔伷,汝南,汝南,普通,裨将军,100,,70,72,51,34,56,健康,割据,三令五申,3,豪杰男,豪杰男,0,,,刘辟,,,1
424,钟繇,198,男,151,184,197,230,0,22,曹操,曹操,小沛,小沛,普通,治中从事,100,,70,24,76,91,77,健康,礼教,区域振兴,5,恭敬男,恭敬男,0,,,钟繇,,,1
538,祖茂,371,男,155,184,184,190,1,127,孙坚,孙坚,零陵,零陵,俘虏,无,99,,70,71,62,53,63,健康,割据,强化鱼鳞,3,普通男,普通男,0,,,祖茂,,,1
390,朱治,347,男,156,184,184,224,0,126,孙坚,孙坚,武陵,武陵,普通,记室,100,,70,56,73,73,76,健康,礼教,区域巡回,3,恭敬男,恭敬男,0,,,朱治,,,1
493,单经,510,男,156,184,200,199,0,64,袁绍,袁绍,北平,北平,普通,无,100,,70,66,44,48,55,健康,割据,区域巡回,3,普通男,普通男,0,,,单经,,,1
642,张羡,894,男,159,188,189,202,0,33,刘表,刘表,江夏,江夏,普通,无,100,,70,45,55,66,58,健康,割据,扩张城墙,3,自大男,自大男,0,,,张羡,,,1
149,管亥,255,男,160,184,195,193,1,7,张超,张超,广陵,广陵,太守,牙门将军,100,,70,80,10,5,25,健康,我道,强化锋矢,3,粗鲁男,粗鲁男,0,,,管亥,,,1
466,辛评,158,男,165,184,204,204,1,85,曹操,曹操,许昌,许昌,普通,记室,100,韩馥,70,43,75,77,66,健康,割据,地势研究,3,策士男,策士男,0,,,辛毗,,,1
869,杨任,546,男,170,189,189,215,1,17,张鲁,张鲁,上庸,上庸,普通,师友从事,100,,70,78,56,47,54,健康,割据,强化长蛇,3,勇将男,勇将男,0,,,杨任,,,1
1405,江妍,2144,女,170,184,0,239,0,0,,,,,死亡,无,0,,70,20,42,8,13,健康,名利,地势研究,2,普通女,普通女,255,,,江妍,,,1
9,殷署,1105,男,177,196,196,223,0,37,董卓,董卓,长安,长安,普通,平北将军,100,,70,68,37,41,42,健康,割据,强化锋矢,3,普通男,普通男,0,,,殷署,,,1
770,马铁,422,男,179,193,193,211,1,70,马腾,马腾,武威,马铁,普通,无,120,,70,62,56,47,59,健康,割据,强化方圆,3,普通男,普通男,0,,,马腾,马腾,,2
757,马云騄,784,女,183,197,197,225,0,70,刘备,刘备,永安,永安,普通,建武校尉,255,,70,73,39,32,61,健康,割据,强化锋矢,3,勇敢女,勇敢女,0,赵云,,马腾,马腾,,2
526,曹丕,61,男,187,200,200,226,0,26,曹操,曹操,濮阳,濮阳,普通,谏议大夫,100,,70,71,83,86,84,健康,霸道,户籍整理,5,自大男,自大男,0,,,曹操,曹操,卞氏,2
652,张南,463,男,187,209,0,222,1,74,,,武陵,武陵,未登场,无,0,,70,68,37,43,56,健康,割据,强化鹤翼,3,普通男,普通男,0,,,张南,,,1
796,费耀,548,男,192,211,0,228,1,26,,,天水,天水,未登场,无,0,,70,65,73,61,67,健康,霸道,强化兵器,3,恭敬男,恭敬男,0,,,费耀,,,1
546,孙奂,1207,男,195,209,0,234,0,126,,,吴,吴,未登场,无,0,,70,63,55,61,62,健康,王道,开发运输,3,恭敬男,恭敬男,0,,,孙坚,孙静,,2
361,朱异,341,男,201,215,0,257,1,128,,,吴,吴,未登场,无,0,,70,68,61,45,55,健康,王道,强化鹤翼,4,恭敬男,恭敬男,0,,,朱桓,朱桓,,2
998,鲁淑,663,男,208,226,0,274,0,124,,,庐江,庐江,未登场,无,0,,70,53,74,77,71,健康,王道,墨守研究,3,恭敬男,恭敬男,0,,,鲁肃,鲁肃,,2
478,石鉴,1191,男,214,233,0,294,0,38,,,晋阳,晋阳,未登场,无,0,,70,60,73,67,22,健康,名利,火计研究,3,狡猾男,狡猾男,0,,,石鉴,,,1
957,留平,616,男,218,232,0,272,1,129,,,会稽,会稽,未登场,无,0,,70,70,68,57,62,健康,霸道,工法改革,3,豪杰男,豪杰男,0,,,留賛,留賛,,2
839,步阐,641,男,222,236,0,272,1,129,,,广陵,广陵,未登场,无,0,,70,60,72,63,61,健康,霸道,扩张城墙,3,恭敬男,恭敬男,0,,,步骘,步骘,,2
232,牵弘,601,男,224,243,0,272,0,40,,,南皮,南皮,未登场,无,0,,70,72,66,64,58,健康,霸道,强化兵器,3,普通男,普通男,0,,,牵招,牵招,,2
453,沈莹,358,男,235,253,0,280,1,126,,,建业,建业,未登场,无,0,,70,77,61,44,66,健康,霸道,军制改革,3,勇将男,勇将男,0,,,沈莹,,,1
690,程远志,523,男,145,184,190,184,1,7,曹操,曹操,陈留,陈留,普通,无,100,,69,74,18,25,29,健康,我道,侵略荒废,3,粗鲁男,粗鲁男,0,,,程远志,,,1
893,李傕,69,男,148,184,184,198,1,1,董卓,张绣,天水,天水,普通,牙门将军,100,,69,72,23,1,16,健康,我道,火计研究,3,自大男,自大男,0,,,李傕,,,1
783,樊能,717,男,158,184,190,195,1,8,严白虎,严白虎,会稽,会稽,普通,主簿,100,,69,61,36,32,54,健康,我道,培养水军,2,普通男,普通男,0,,,樊能,,,1
919,李丰,723,男,158,184,191,197,0,138,曹操,曹操,小沛,李丰,普通,无,100,,69,74,50,22,53,健康,霸道,扩张城墙,3,勇将男,勇将男,0,,,李丰,,,1
169,韩暹,317,男,159,184,190,197,1,8,张杨,张杨,晋阳,晋阳,普通,无,100,,69,66,35,18,49,健康,我道,开发运输,2,粗鲁男,粗鲁男,0,,,韩暹,,,1
159,韩浩,316,男,164,184,189,218,1,27,张杨,张杨,壶关,壶关,普通,无,100,,69,71,68,87,64,健康,割据,兵站改革,4,恭敬男,恭敬男,0,,,韩玄,,,1
334,士徽,702,男,165,184,184,226,1,144,士燮,士燮,零陵,零陵,普通,讨逆将军,110,,69,66,44,32,52,健康,我道,强化鹤翼,3,自大男,自大男,0,,,士燮,士燮,,2
412,蒋钦,212,男,168,187,190,219,0,126,张超,张超,建业,蒋钦,普通,虎威将军,100,,69,84,33,32,65,健康,我道,强化雁行,4,豪杰男,豪杰男,0,,,蒋钦,,,1
951,刘磐,724,男,168,188,189,210,1,45,刘表,刘表,江陵,江陵,普通,讨逆将军,100,,69,78,47,44,53,健康,霸道,强化鱼鳞,3,勇将男,勇将男,0,,,刘表,,,2
693,程银,401,男,169,184,188,211,1,69,马腾,马腾,武威,武威,普通,无,100,,69,73,40,35,50,健康,我道,兵站改革,3,豪杰男,豪杰男,0,,,程银,,,1
537,苏飞,370,男,172,191,191,221,0,129,刘表,刘表,江夏,江夏,普通,建武校尉,100,,69,63,66,64,65,健康,割据,培养水军,2,普通男,普通男,0,,,苏飞,,,1
886,雷铜,228,男,172,191,191,218,1,59,刘备,刘备,阳平关,阳平关,普通,偏将军,100,,69,78,51,37,53,健康,霸道,强化鱼鳞,3,普通男,普通男,0,,,雷铜,,,1
989,吕玲绮,785,女,182,196,196,198,1,145,董卓,张绣,天水,天水,普通,安北将军,100,,69,74,37,18,52,健康,我道,强化锥行,3,勇敢女,勇敢女,0,,,吕布,吕布,严氏,2
303,胡综,1155,男,183,196,196,243,0,122,孙坚,孙坚,长沙,长沙,普通,主簿,100,,69,53,77,69,64,健康,礼教,强化兵器,3,策士男,策士男,0,,,胡综,,,1
246,侯音,816,男,184,205,0,219,1,53,,,宛,顺阳,未发现,无,0,,69,67,43,28,45,健康,割据,侵略荒废,2,豪杰男,豪杰男,0,,,侯音,,,1
955,刘敏,1289,男,196,215,0,255,0,69,,,零陵,零陵,未登场,无,0,,69,70,67,51,56,健康,王道,地势研究,2,普通男,普通男,0,,,刘敏,,,1
611,张球,553,男,201,220,0,263,0,29,,,寿春,寿春,未登场,无,0,,69,72,44,30,45,健康,霸道,火计研究,3,普通男,普通男,0,,,张球,,,1
480,石苞,462,男,214,233,0,272,0,32,,,南皮,南皮,未登场,无,0,,69,71,57,53,62,健康,霸道,区域巡回,3,勇将男,勇将男,0,,,石苞,,,1
46,王颀,56,男,217,236,0,281,0,21,,,北海,北海,未登场,无,0,,69,67,61,70,68,健康,割据,培养水军,3,普通男,普通男,0,,,王颀,,,1
20,卫瓘,598,男,220,239,0,291,0,31,,,洛阳,洛阳,未登场,无,0,,69,45,79,86,32,健康,名利,火计研究,4,策士男,策士男,0,,,卫瓘,,,1
540,孙异,183,男,223,237,0,272,0,122,,,吴,吴,未登场,无,0,,69,69,55,62,59,健康,割据,强化方圆,2,普通男,普通男,0,,,孙桓,孙韶,,3
437,诸葛瞻,185,男,227,241,0,263,1,75,,,下邳,下邳,未登场,无,0,,69,57,72,68,69,健康,王道,墨守研究,3,恭敬男,恭敬男,0,,,诸葛亮,诸葛亮,黄月英,2
345,司马炎,209,男,236,250,0,290,0,31,,,洛阳,洛阳,未登场,无,0,,69,59,76,78,74,健康,霸道,三令五申,3,自大男,自大男,0,,,司马懿,司马昭,王元姬,3
352,司马攸,279,男,248,262,0,283,0,30,,,洛阳,洛阳,未登场,无,0,,69,65,75,77,87,健康,王道,区域振兴,4,恭敬男,恭敬男,0,,,司马懿,司马昭,王元姬,3
441,徐璆,1185,男,149,184,189,208,0,88,孔伷,孔伷,汝南,汝南,普通,功曹,100,,68,48,62,80,56,健康,礼教,三令五申,3,策士男,策士男,0,,,徐璆,,,1
62,应劭,886,男,150,184,196,204,0,95,曹操,曹操,濮阳,濮阳,普通,无,100,,68,46,73,67,70,健康,名利,太学,3,恭敬男,恭敬男,0,,,应劭,,,1
818,方悦,542,男,153,184,189,190,1,94,张杨,张杨,壶关,壶关,普通,灭贼校尉,100,,68,80,44,46,48,健康,割据,强化方圆,4,豪杰男,豪杰男,0,,,方悦,,,1
710,田楷,512,男,154,184,200,199,0,64,袁绍,袁绍,北平,北平,普通,无,100,,68,65,57,60,63,健康,割据,工法改革,3,普通男,普通男,0,,,田楷,,,1
85,蒯良,41,男,155,184,189,204,0,40,刘表,刘表,新野,蒯良,普通,簿曹从事,100,,68,33,88,83,71,健康,名利,地势研究,4,恭敬男,恭敬男,0,,,蒯良,,,1
798,武安国,433,男,156,184,195,190,1,43,袁绍,袁绍,蓟,蓟,普通,奋武校尉,100,,68,83,34,33,27,健康,割据,强化方圆,4,豪杰男,豪杰男,0,,,武安国,,,1
507,宋宪,367,男,157,184,189,200,1,147,董卓,董卓,长安,长安,普通,平东将军,100,,68,78,37,28,33,健康,我道,军制改革,3,普通男,普通男,0,,,宋宪,,,1
691,程畿,1231,男,158,187,190,222,1,62,刘备,刘备,永安,永安,普通,劝学从事,100,,68,60,75,71,72,健康,王道,强化兵器,3,威严男,威严男,0,,,程畿,,,1
289,吴景,712,男,159,184,184,203,0,126,孙坚,孙坚,建安,建安,普通,无,100,,68,65,54,65,66,健康,名利,培养水军,2,普通男,普通男,0,,,吴国太,,,1
696,郑浑,1233,男,159,184,190,223,0,95,董卓,张绣,天水,天水,普通,簿曹从事,100,,68,32,67,87,82,健康,王道,工法改革,4,恭敬男,恭敬男,0,,,郑泰,,,1
512,臧洪,819,男,161,184,189,196,1,98,张超,张超,广陵,广陵,普通,无,100,,68,49,73,76,80,健康,王道,开发设施,4,威严男,威严男,0,,,臧洪,,,1
233,严纲,323,男,163,184,200,192,0,64,袁绍,袁绍,平原,平原,普通,无,100,,68,71,40,51,50,健康,割据,强化雁行,3,豪杰男,豪杰男,0,,,严纲,,,1
365,周㬂,1168,男,163,184,190,196,1,16,曹操,曹操,洛阳,洛阳,普通,无,100,,68,51,77,55,64,健康,霸道,三令五申,3,策士男,策士男,0,,,周昕,,,1
1202,乌桓将军,1016,男,165,184,0,263,0,0,乌桓单于,乌桓单于,乌桓,乌桓,普通,无,255,,68,73,34,17,46,健康,我道,强化鱼鳞,1,豪杰男,豪杰男,0,,,乌桓将军,,,0
1212,乌桓督将,1016,男,165,350,0,263,0,0,,,,,未登场,无,0,,68,77,34,16,45,健康,我道,强化鱼鳞,1,豪杰男,豪杰男,0,,,乌桓督将,,,0
1262,山越将军,1020,男,165,184,0,263,0,0,山越头目,山越头目,山越,山越,普通,无,255,,68,77,34,16,46,健康,我道,强化鱼鳞,1,豪杰男,豪杰男,0,,,山越将军,,,0
1272,山越督将,1020,男,165,350,0,263,0,0,,,,,未登场,无,0,,68,76,35,16,48,健康,我道,强化鱼鳞,1,豪杰男,豪杰男,0,,,山越督将,,,0
1409,华月,2116,女,170,184,0,239,0,0,,,,,死亡,无,0,,68,44,22,8,53,健康,割据,培养水军,3,勇敢女,勇敢女,255,,,华月,,,1
133,贾信,1124,男,171,199,199,220,0,29,董卓,董卓,长安,长安,普通,平西将军,100,,68,69,51,45,42,健康,割据,强化锋矢,2,普通男,普通男,0,,,贾信,,,1
190,麴演,1139,男,174,193,193,221,1,59,马腾,马腾,武威,武威,普通,无,100,,68,69,50,25,37,健康,我道,侵略荒废,2,豪杰男,豪杰男,0,,,麴演,,,1
513,仓慈,1202,男,174,196,196,240,0,21,张超,张超,广陵,广陵,普通,主簿,100,,68,37,68,84,83,健康,王道,兵站改革,4,恭敬男,恭敬男,0,,,仓慈,,,1
834,辅匡,1260,男,175,194,194,244,0,70,刘表,刘表,江夏,江夏,太守,牙门将军,100,,68,71,41,36,64,健康,割据,军制改革,3,普通男,普通男,0,,,辅匡,,,1
153,毌丘兴,1130,男,176,195,195,226,0,39,董卓,董卓,长安,毌丘兴,普通,裨将军,100,,68,64,50,68,70,健康,王道,开发设施,3,勇将男,勇将男,0,,,毌丘兴,,,1
380,朱盖,1174,男,178,197,197,224,0,37,曹操,曹操,许昌,许昌,普通,无,100,,68,66,44,34,40,健康,霸道,强化锋矢,2,普通男,普通男,0,,,朱盖,,,1
760,马休,420,男,178,192,192,211,1,70,马腾,马腾,安定,安定,普通,破贼校尉,120,,68,73,47,45,67,健康,割据,强化鱼鳞,3,勇将男,勇将男,0,,,马腾,马腾,,2
293,吾粲,461,男,181,206,0,245,1,126,,,柴桑,柴桑,未登场,无,0,,68,41,78,72,67,健康,名利,火计研究,3,策士男,策士男,0,,,吾粲,,,1
937,刘循,175,男,184,198,198,239,0,55,刘备,张任,江州,江州,普通,无,100,,68,54,45,50,62,健康,割据,强化鹤翼,2,普通男,普通男,0,,,刘焉,刘璋,,3
739,董荼那,142,男,189,217,0,225,1,62,,,云南,云南,未登场,无,0,,68,73,33,37,49,健康,割据,区域巡回,3,豪杰男,豪杰男,0,,,董荼那,,,1
23,越吉,812,男,190,210,0,227,1,49,,,天水,天水,未登场,无,0,,68,82,16,20,25,健康,我道,侵略荒废,4,粗鲁男,粗鲁男,0,,,越吉,,,1
856,杨仪,227,男,190,209,0,235,1,61,,,襄阳,襄阳,未登场,无,0,,68,40,82,79,19,健康,名利,开发设施,4,狡猾男,狡猾男,0,,,杨仪,,,1
121,夏侯儒,1123,男,191,205,0,250,0,26,,,许昌,昆阳,在野,无,0,,68,53,67,68,58,健康,霸道,开发设施,2,普通男,普通男,0,,,夏侯惇,,,2
255,高翔,327,男,194,213,0,252,0,69,,,梓潼,梓潼,未登场,无,0,,68,68,51,43,55,健康,王道,强化雁行,2,普通男,普通男,0,,,高翔,,,1
939,刘劭,555,男,195,212,0,264,0,28,,,邺,邺,未登场,无,0,,68,52,73,79,68,健康,王道,火计研究,3,策士男,策士男,0,,,刘劭,,,1
825,鲍三娘,782,女,198,220,0,248,0,75,,,江陵,江陵,未登场,无,0,,68,75,38,31,63,健康,我道,强化锥行,3,勇敢女,勇敢女,0,,,鲍三娘,,,1
588,戴陵,560,男,199,218,0,258,0,28,,,安定,安定,未登场,无,0,,68,75,39,43,51,健康,割据,强化锋矢,3,豪杰男,豪杰男,0,,,戴陵,,,1
820,庞会,516,男,205,219,0,272,0,65,,,武威,武威,未登场,无,0,,68,75,47,42,52,健康,霸道,开发设施,3,普通男,普通男,0,,,庞德,庞德,,2
257,黄崇,428,男,208,222,0,263,1,56,,,梓潼,梓潼,未登场,无,0,,68,64,72,69,65,健康,王道,强化方圆,3,恭敬男,恭敬男,0,,,黄权,黄权,,2
649,赵统,219,男,209,223,0,260,0,75,,,蓟,蓟,未登场,无,0,,68,65,61,54,57,健康,割据,开发运输,2,普通男,普通男,0,,,赵云,赵云,,2
870,杨济,647,男,226,245,0,291,1,32,,,洛阳,洛阳,未登场,无,0,,68,68,71,66,66,健康,霸道,强化方圆,3,自大男,自大男,0,,,杨彪,,,5
742,唐彬,634,男,235,254,0,294,0,32,,,小沛,小沛,未登场,无,0,,68,74,66,53,60,健康,霸道,三令五申,3,普通男,普通男,0,,,唐彬,,,1
648,张悌,213,男,236,253,0,280,1,126,,,襄阳,襄阳,未登场,无,0,,68,43,80,78,83,健康,王道,地势研究,4,恭敬男,恭敬男,0,,,张悌,,,1
106,郭马,143,男,239,253,0,280,0,132,,,建安,建安,未登场,无,0,,68,71,47,21,50,健康,割据,强化长蛇,3,豪杰男,豪杰男,0,,,郭马,,,1
239,严白虎,297,男,142,184,190,196,1,10,严白虎,严白虎,会稽,会稽,君主,无效,250,,67,70,23,22,43,健康,我道,强化鱼鳞,4,粗鲁男,粗鲁男,0,,,严白虎,,,1
256,高升,525,男,145,184,190,184,1,7,曹操,曹操,陈留,陈留,普通,无,100,,67,73,40,21,23,健康,我道,强化长蛇,3,粗鲁男,粗鲁男,0,,,高升,,,1
782,樊稠,417,男,149,184,184,192,1,149,董卓,董卓,长安,樊稠,普通,虎威将军,100,,67,74,31,24,38,健康,我道,开发运输,3,豪杰男,豪杰男,0,,,樊稠,,,1
922,李蒙,1282,男,151,184,184,192,1,148,董卓,董卓,长安,长安,普通,灭贼校尉,100,,67,66,33,16,34,健康,我道,强化锋矢,2,粗鲁男,粗鲁男,0,,,李蒙,,,1
880,杨奉,0,男,153,184,201,197,1,92,刘备,张任,建宁,建宁,普通,无,100,,67,65,34,20,58,健康,我道,强化鱼鳞,3,豪杰男,豪杰男,0,,,杨奉,,,1
268,公孙度,264,男,154,184,189,204,0,142,公孙度,公孙度,襄平,襄平,君主,无,250,,67,71,68,64,42,健康,我道,墨守研究,4,自大男,自大男,0,,,公孙度,,,1
193,魏续,322,男,156,184,189,200,1,147,董卓,张绣,天水,天水,普通,平南将军,100,,67,78,31,33,40,健康,割据,开发运输,3,普通男,普通男,0,,,魏续,,,1
371,周仓,20,男,164,184,0,219,1,75,刘备,刘备,永安,永安,普通,破虏将军,193,,67,84,42,34,54,健康,割据,培养水军,4,豪杰男,豪杰男,0,,,周仓,,,1
460,任峻,818,男,165,189,190,204,0,22,董卓,董卓,长安,长安,普通,无,100,,67,60,62,71,58,健康,礼教,兵站改革,3,威严男,威严男,0,,,任峻,,,1
1292,南中督将,1014,男,165,350,0,263,0,0,,,,,未登场,无,0,,67,74,36,18,44,健康,我道,强化鱼鳞,1,豪杰男,豪杰男,0,,,南中督将,,,0
926,刘延,1285,男,166,190,190,221,0,27,曹操,曹操,洛阳,洛阳,普通,无,100,,67,63,45,40,51,健康,割据,扩张城墙,2,普通男,普通男,0,,,刘延,,,1
315,吴兰,182,男,170,189,189,218,1,59,刘备,刘备,阳平关,阳平关,普通,牙门将军,193,,67,80,35,36,51,健康,霸道,强化锋矢,4,豪杰男,豪杰男,0,,,吴兰,,,1
1027,熊疑,944,男,170,184,0,268,0,120,,,,,死亡,无,0,,67,55,73,83,76,健康,霸道,军制改革,6,自大男,自大男,0,,,熊疑,,,0
1584,科洛蒂娅,5103,女,170,184,0,350,0,75,,,,,死亡,无,0,,67,63,79,91,90,健康,礼教,本草学,4,无效,贤明女,0,,,科洛蒂娅,,,1
862,杨昂,547,男,172,191,191,215,1,16,董卓,董卓,长安,长安,普通,荡寇将军,100,,67,72,38,34,42,健康,割据,强化方圆,3,普通男,普通男,0,,,杨昂,,,1
867,杨秋,440,男,172,191,0,238,0,48,,,安定,北地,未发现,无,0,,67,66,59,63,46,健康,我道,区域巡回,2,普通男,普通男,0,,,杨秋,,,1
574,孙辅,1213,男,173,194,194,207,0,119,孙坚,孙坚,建安,建安,普通,灭贼校尉,100,,67,65,48,42,43,健康,名利,强化鹤翼,2,普通男,普通男,0,,,孙坚,,,2
498,千万,1199,男,174,193,193,263,0,80,董卓,董卓,长安,长安,普通,破贼校尉,100,,67,61,28,30,54,健康,我道,侵略荒废,2,粗鲁男,粗鲁男,0,,,千万,,,1
999,路招,1299,男,174,193,193,219,0,30,曹操,曹操,洛阳,洛阳,普通,无,100,,67,74,21,23,27,健康,霸道,强化鱼鳞,3,普通男,普通男,0,,,路招,,,1
879,杨阜,651,男,178,197,197,239,0,21,董卓,董卓,长安,杨阜,普通,散骑侍郎,100,,67,50,82,78,77,健康,王道,开发设施,4,恭敬男,恭敬男,0,,,杨阜,,,1
665,赵累,396,男,183,202,202,219,1,74,刘备,刘备,永安,永安,普通,无,100,,67,43,68,74,71,健康,礼教,开发运输,3,普通男,普通男,0,,,赵累,,,1
767,马忠,479,男,186,205,0,222,1,131,,,柴桑,南昌,在野,无,0,,67,79,60,35,38,健康,我道,强化长蛇,3,豪杰男,豪杰男,0,,,马忠,,,1
565,孙尚香,538,女,193,207,0,222,1,125,,,吴,吴,未登场,无,0,,67,80,57,56,80,健康,王道,强化雁行,4,勇敢女,勇敢女,54,,,孙坚,孙坚,吴国太,2
284,伍延,602,男,234,253,0,280,1,126,,,江陵,江陵,未登场,无,0,,67,73,44,48,62,健康,割据,培养水军,3,普通男,普通男,0,,,伍延,,,1
566,孙震,572,男,234,253,0,280,1,125,,,吴,吴,未登场,无,0,,67,70,48,44,54,健康,割据,强化鱼鳞,3,普通男,普通男,0,,,孙坚,,,4
753,宁随,590,男,234,253,0,264,0,73,,,天水,天水,未登场,无,0,,67,69,72,41,52,健康,霸道,兵站改革,3,普通男,普通男,0,,,宁随,,,1
733,陶濬,394,男,238,252,0,285,0,120,,,建业,建业,未登场,无,0,,67,66,51,50,53,健康,割据,培养水军,2,普通男,普通男,0,,,陶濬,,,1
206,桥蕤,318,男,143,184,189,195,1,137,袁术,袁术,宛,宛,普通,奋武校尉,100,,66,69,38,41,55,健康,名利,开发设施,2,恭敬男,恭敬男,0,,,桥蕤,,,1
620,赵弘,527,男,156,184,190,184,1,7,曹操,曹操,陈留,陈留,普通,无,100,,66,72,28,22,13,健康,我道,工法改革,3,粗鲁男,粗鲁男,0,,,赵弘,,,1
687,陈兰,252,男,157,184,199,204,1,142,孔伷,孔伷,汝南,陈兰,普通,建武校尉,100,,66,69,41,24,36,健康,我道,强化长蛇,2,粗鲁男,粗鲁男,0,,,陈兰,,,1
567,孙静,376,男,160,184,184,206,0,126,孙坚,孙坚,南海,南海,普通,无,120,,66,52,73,72,72,健康,王道,三令五申,3,恭敬男,恭敬男,0,,,孙坚,,,1
748,杜畿,796,男,163,184,199,224,0,32,董卓,董卓,长安,长安,普通,尚书令,100,,66,32,74,87,76,健康,王道,开发运输,4,恭敬男,恭敬男,0,,,杜畿,,,1
188,魏越,898,男,165,189,195,198,1,149,马腾,马腾,安定,安定,普通,建武校尉,100,,66,77,34,20,32,健康,我道,强化长蛇,3,勇将男,勇将男,0,,,魏越,,,1
1222,鲜卑将军,1037,男,165,184,0,263,0,0,鲜卑王,鲜卑王,鲜卑,鲜卑,普通,无,255,,66,73,33,14,43,健康,我道,强化鱼鳞,1,豪杰男,豪杰男,0,,,鲜卑将军,,,0
1282,南中将军,1014,男,165,184,0,263,0,0,南中大王,南中大王,南中,南中,普通,无,255,,66,74,37,13,45,健康,我道,强化鱼鳞,1,豪杰男,豪杰男,0,,,南中将军,,,0
600,张裔,1218,男,166,194,194,230,0,82,刘备,刘备,成都,成都,普通,记室,100,,66,43,67,76,68,健康,礼教,培养水军,3,策士男,策士男,0,,,张裔,,,1
94,郭援,787,男,167,191,191,202,1,100,袁绍,袁绍,南皮,南皮,普通,无,100,,66,73,36,33,45,健康,我道,强化锥行,3,粗鲁男,粗鲁男,0,,,郭援,,,1
215,许褚,12,男,169,189,197,226,0,25,曹操,曹操,濮阳,濮阳,普通,破虏将军,120,,66,97,36,20,56,健康,霸道,强化方圆,5,豪杰男,豪杰男,31,,,许褚,,,1
443,徐琨,1186,男,169,190,190,203,0,126,孙坚,孙坚,武陵,武陵,太守,破贼校尉,100,,66,68,53,55,48,健康,王道,强化长蛇,2,普通男,普通男,0,,,徐琨,,,1
712,田畴,405,男,169,188,204,214,0,42,韩馥,韩馥,邺,邺,普通,劝学从事,100,,66,66,72,75,74,健康,王道,户籍整理,3,恭敬男,恭敬男,0,,,田畴,,,1
274,高沛,333,男,170,189,189,212,1,53,刘备,张任,江州,江州,太守,无,195,,66,65,69,57,52,健康,割据,强化雁行,2,普通男,普通男,0,,,高沛,,,1
840,步度根,720,男,170,190,199,233,1,46,张杨,张杨,晋阳,晋阳,普通,无,100,,66,74,45,44,51,健康,我道,强化锥行,3,粗鲁男,粗鲁男,0,,,步度根,,,1
2,阿贵,1100,男,172,191,191,214,1,80,董卓,董卓,长安,长安,普通,军师将军,100,,66,73,21,18,48,健康,我道,侵略荒废,3,粗鲁男,粗鲁男,0,,,阿贵,,,1
508,宋谦,595,男,175,194,200,227,0,123,孔伷,孔伷,汝南,汝南,普通,偏将军,100,,66,78,42,39,64,健康,割据,强化鱼鳞,3,勇将男,勇将男,0,,,宋谦,,,1
29,袁熙,33,男,176,190,190,207,1,101,袁绍,袁绍,平原,平原,普通,无,120,,66,51,68,65,63,健康,名利,强化兵器,3,普通男,普通男,0,,,袁绍,袁绍,,2
384,朱光,1175,男,176,195,195,214,1,29,张超,张超,吴,吴,普通,无,100,,66,54,49,67,58,健康,名利,开发设施,2,普通男,普通男,0,,,朱光,,,1
576,孙翊,215,男,184,198,198,204,1,125,孙坚,孙坚,建安,建安,普通,奋武校尉,100,,66,75,27,15,40,健康,霸道,强化锋矢,3,豪杰男,豪杰男,0,,,孙坚,孙坚,,2
837,木鹿大王,145,男,184,216,0,225,1,51,,,云南,云南,未登场,无,0,,66,72,39,5,30,健康,我道,强化长蛇,3,粗鲁男,粗鲁男,0,,,木鹿大王,,,1
391,朱褒,377,男,187,206,0,225,1,52,,,建宁,建宁,未登场,无,0,,66,73,24,22,40,健康,我道,强化鹤翼,3,粗鲁男,粗鲁男,0,,,朱褒,,,1
137,贺达,1126,男,194,208,0,233,1,121,,,会稽,会稽,未登场,无,0,,66,67,38,27,43,健康,霸道,培养水军,2,豪杰男,豪杰男,0,,,贺齐,贺齐,,2
66,王双,205,男,195,219,0,228,1,26,,,天水,天水,未登场,无,0,,66,88,19,22,25,健康,我道,强化锋矢,4,粗鲁男,粗鲁男,27,,,王双,,,1
