序号,姓名,势力,军团,所属,所在,身分,官职,忠诚,功绩,统御,武力,智力,政治,魅力,五围和,体力,头像,性别,登场年,出生年,死亡年,死因,血缘,父亲,母亲,配偶,义兄弟,世代,相性,亲近武将,亲近武将,亲近武将,亲近武将,亲近武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,登场预定君主,枪兵适性,戟兵适性,弩兵适性,骑兵适性,兵器适性,水军适性,枪兵经验,戟兵经验,弩兵经验,骑兵经验,兵器经验,水军经验,统率经验,武力经验,智力经验,政治经验,魅力经验,统御变动,武力变动,智力变动,政治变动,魅力变动,出身地,特技,舌战得意话题,义理,野望,起用,性格,音声,口调,汉室,战略倾向,地元执着,すけるとん,头盔,面部,上身,披风,护腕,下身,箭袋,パーツ,武器·左,武器·右,马,头像变更年龄,lp124,任务,任务对象,lp140_1,lp140_2,lp140_3,lp140_4,lp140_5,留守Counter,伤病,旧势力,仕官禁止君主,仕官禁止期间,捕虏月数Counter,年初功绩
193,贾复,刘秀,刘秀,宛,宛,一般,,120,2000,80,85,73,73,62,373,100,1366,男,150,130,229,自然死,193,,,,,1,73,刘秀,,,,,,,,,,,Ａ,Ａ,Ｂ,Ｂ,Ｓ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆北,,时节,情理坚定,普通,能力,刚胆,刚胆,豪放,普通,中华统一,漫不经心,0,3,19,83,255,111,110,255,255,255,3,255,255,664,,,,,,,,0,健康,,,0,0,0
194,耿弇,刘秀,刘秀,宛,宛,一般,,120,2000,93,79,81,67,70,390,100,1367,男,150,130,229,自然死,194,,,,,1,68,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｓ,Ｓ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,,时节,不会背叛,普通,实绩,刚胆,刚胆,普通,重视,中华统一,漫不经心,0,12,26,111,85,111,112,255,255,255,255,255,255,736,,,,,,,,0,健康,,,0,0,0
195,祭遵,刘秀,刘秀,宛,宛,一般,,120,2000,79,77,68,68,70,362,100,1374,男,150,130,229,自然死,195,,,,,1,74,,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ａ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,,道理,情理坚定,普通,实绩,小心,小心,普通,重视,中华统一,重视,0,102,79,94,255,103,94,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
196,马援,刘秀,刘秀,宛,宛,一般,,120,2000,85,80,80,82,87,414,100,1377,男,195,175,274,不自然死,35,,,,,4,70,,,,,,,,,,,,Ｓ,Ｂ,Ａ,Ｓ,Ｂ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,繁殖,时节,不会背叛,较低,义理,冷静,冷静,丁宁,重视,中华统一,临机应变,0,43,79,76,255,94,4,255,255,255,255,255,255,736,,,,,,,,0,健康,,,0,0,0
197,臧宫,刘秀,刘秀,宛,宛,一般,,120,2000,75,87,62,50,53,327,100,1369,男,150,130,229,自然死,197,,,,,1,67,,,,,,,,,,,,Ｂ,Ｂ,Ｃ,Ｓ,Ｂ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,长驱,道理,情理坚定,普通,实绩,刚胆,刚胆,普通,普通,中华统一,临机应变,0,10,80,74,255,93,92,255,255,255,255,255,255,648,,,,,,,,0,健康,,,0,0,0
198,常遇春,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,96,94,64,54,65,373,100,1394,男,150,130,229,自然死,198,,,,,1,91,,,,,,,,,,,,Ｓ,Ａ,Ａ,Ｓ,Ａ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,勇将,道理,情理坚定,普通,义理,刚胆,刚胆,普通,普通,中华统一,重视,0,25,63,74,12,12,12,255,255,255,1,255,255,616,,,,,,,,0,健康,,,0,0,0
199,铫期,刘秀,刘秀,宛,宛,一般,,120,2000,69,94,32,51,76,322,100,1370,男,150,130,229,自然死,199,,,,,1,73,,,,,,,,,,,,Ａ,Ｃ,Ｃ,Ａ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,猛者,时节,不会背叛,普通,义理,猪突,莽撞,豪放,普通,地方统一,漫不经心,2,36,24,10,76,10,10,255,255,255,1,255,255,520,,,,,,,,0,健康,,,0,0,0
200,马武,刘秀,刘秀,宛,宛,一般,,120,2000,72,95,30,44,60,301,100,1371,男,150,130,229,自然死,200,,,,,1,73,,,,,,,,,,,,Ｂ,Ａ,Ｃ,Ｂ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆北,金刚,时节,不会背叛,普通,义理,猪突,莽撞,豪放,普通,地方统一,漫不经心,0,71,68,84,85,94,6,255,255,255,2,255,255,520,,,,,,,,0,健康,,,0,0,0
201,陈俊,刘秀,刘秀,宛,宛,一般,,120,2000,77,81,64,65,61,348,100,1372,男,150,130,229,自然死,201,,,,,1,67,,,,,,,,,,,,Ａ,Ａ,Ｓ,Ｃ,Ｃ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆北,弓将,时节,情理坚定,普通,能力,刚胆,刚胆,普通,普通,州统一,重视,0,26,8,93,3,93,8,20,255,255,255,255,255,584,,,,,,,,0,健康,,,0,0,0
202,李膺,,,宛,宛,未发现,,0,0,74,70,74,77,84,379,100,1389,男,150,130,229,不自然死,202,,,,,1,73,,,,,,,,,,,,Ａ,Ａ,Ｂ,Ｂ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,眼力,故事,不会背叛,普通,实绩,刚胆,刚胆,普通,重视,地方统一,临机应变,0,98,25,98,255,89,89,255,255,255,255,255,255,232,,,,,,,,0,健康,,,0,0,0
203,祭肜,刘秀,刘秀,宛,宛,一般,,120,2000,80,88,59,70,79,376,100,1375,男,150,130,229,自然死,195,,,,,1,74,,,,,,,,,,,,Ａ,Ｂ,Ａ,Ｓ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,亲乌,时节,不会背叛,低,实绩,小心,小心,谦逊,重视,地方统一,临机应变,0,75,0,0,85,112,112,20,255,255,255,255,255,744,,,,,,,,0,健康,,,0,0,0
204,窦融,刘秀,刘秀,宛,宛,一般,,120,2000,68,72,74,83,88,385,100,1378,男,195,175,274,自然死,770,,,,,4,69,,,,,,,,,,,,Ｂ,Ｂ,Ｃ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,掎角,故事,情理坚定,普通,义理,小心,小心,普通,普通,地方统一,重视,0,89,20,68,76,3,3,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
205,李文忠,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,89,88,67,61,80,385,100,1728,男,150,130,229,自然死,205,,,,,1,90,朱元璋,,,,,,,,,,,Ｓ,Ａ,Ｂ,Ｓ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,突袭,道理,情理坚定,普通,实绩,刚胆,刚胆,豪放,普通,中华统一,临机应变,0,0,8,85,11,112,112,255,255,255,255,255,255,680,,,,,,,,0,健康,,,0,0,0
206,窦宪,刘秀,刘秀,宛,宛,一般,,120,2000,76,73,58,48,26,281,100,1379,男,240,220,319,不自然死,770,,,,,7,69,,,,,,,,,,,,Ａ,Ａ,Ｂ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,,时节,普通,普通,名声,猪突,莽撞,尊大,普通,中华统一,漫不经心,0,9,25,4,4,111,111,255,255,255,255,255,255,648,,,,,,,,0,健康,,,0,0,0
207,班固,刘秀,刘秀,宛,宛,一般,,120,2000,57,50,78,76,72,333,100,1380,男,150,130,229,不自然死,207,2005,,,,1,72,,,,,,,,,,,,Ｃ,Ｂ,Ｃ,Ｂ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,,故事,情理坚定,普通,能力,冷静,冷静,普通,普通,中华统一,重视,0,83,5,88,255,88,88,255,255,255,255,255,255,592,,,,,,,,0,健康,,,0,0,0
208,班超,刘秀,刘秀,宛,宛,一般,,120,2000,90,78,91,80,76,415,100,2007,男,150,131,229,自然死,207,2005,,,,1,72,,,,,,,,,,,,Ｓ,Ａ,Ｓ,Ｂ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,,道理,不会背叛,普通,能力,刚胆,刚胆,豪放,普通,中华统一,临机应变,0,38,76,74,76,93,92,255,255,255,255,255,255,616,,,,,,,,0,健康,,,0,0,0
209,虞诩,,,宛,宛,未发现,,0,0,83,54,93,81,68,379,100,1383,男,150,130,229,自然死,209,,,,,1,71,,,,,,,,,,,,Ａ,Ａ,Ｓ,Ｂ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,,道理,不会背叛,普通,能力,刚胆,刚胆,丁宁,重视,中华统一,临机应变,0,2,71,84,85,18,85,255,255,255,255,255,255,232,,,,,,,,0,健康,,,0,0,0
210,郑玄,,,宛,宛,未发现,,0,0,18,46,72,80,76,292,100,1381,男,150,130,229,自然死,210,,,,,1,67,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,道理,不会背叛,较低,名声,冷静,冷静,普通,重视,现状维持,临机应变,0,125,44,124,255,124,124,255,255,255,255,255,255,112,,,,,,,,0,健康,,,0,0,0
211,张衡,,,宛,宛,未发现,,0,0,27,39,84,75,71,296,100,1382,男,150,130,229,自然死,211,,,,,1,66,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆北,发明,故事,普通,较低,名声,小心,小心,普通,重视,现状维持,重视,0,119,80,106,255,106,106,255,255,255,255,255,255,64,,,,,,,,0,健康,,,0,0,0
212,张奂,刘秀,刘秀,宛,宛,一般,,120,2000,82,66,69,71,73,361,100,1384,男,150,130,229,自然死,212,,,,,1,67,皇甫规,,,,,段熲,董卓,,,,,Ａ,Ａ,Ａ,Ａ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,亲羌,故事,情理坚定,普通,能力,冷静,冷静,普通,普通,中华统一,重视,0,0,79,111,3,111,112,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
213,段熲,刘秀,刘秀,宛,宛,一般,,120,2000,84,76,65,69,68,362,100,1385,男,150,130,229,不自然死,213,,,,,1,67,,,,,,张奂,,,,,,Ａ,Ａ,Ｂ,Ｓ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,,时节,无情义,普通,实绩,冷静,冷静,普通,普通,中华统一,重视,0,53,79,55,85,93,55,255,255,255,255,255,255,600,,,,,,,,0,健康,,,0,0,0
214,皇甫规,刘秀,刘秀,宛,宛,一般,,120,2000,81,69,71,67,76,364,100,1386,男,150,130,229,自然死,214,,,,,1,68,张奂,,,,,,,,,,,Ａ,Ａ,Ｂ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,攻心,道理,不会背叛,较低,实绩,刚胆,刚胆,普通,普通,中华统一,重视,0,21,79,83,255,111,110,255,255,255,255,255,255,616,,,,,,,,0,健康,,,0,0,0
215,朱文正,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,84,76,57,27,32,276,100,1729,男,165,145,244,自然死,365,,,,,2,94,,,,,,,,,,,,Ａ,Ｓ,Ａ,Ｂ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,,时节,普通,普通,能力,刚胆,刚胆,尊大,无视,地方统一,漫不经心,0,12,24,103,76,4,103,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
216,李固,,,宛,宛,未发现,,0,0,39,41,75,85,88,328,100,1387,男,150,130,229,不自然死,216,,,,,1,71,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,益州,,道理,不会背叛,普通,能力,刚胆,刚胆,丁宁,重视,中华统一,临机应变,0,88,102,89,255,89,89,255,255,255,255,255,255,232,,,,,,,,0,健康,,,0,0,0
217,傅友德,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,86,90,55,40,44,315,100,1730,男,150,130,229,不自然死,217,,,,,1,92,,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ｓ,Ａ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,连击,时节,普通,普通,实绩,猪突,莽撞,普通,普通,中华统一,漫不经心,0,26,79,4,4,103,4,255,255,255,255,255,255,648,,,,,,,,0,健康,,,0,0,0
218,杜乔,,,宛,宛,未发现,,0,0,44,31,71,78,85,309,100,1388,男,150,130,229,不自然死,218,,,,,1,71,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,司隶,规律,道理,不会背叛,普通,义理,冷静,冷静,普通,重视,现状维持,重视,0,79,25,79,255,79,79,255,255,255,255,255,255,96,,,,,,,,0,健康,,,0,0,0
219,沐英,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,76,73,72,79,83,383,100,1732,男,150,130,229,自然死,219,,,,,1,90,朱元璋,,,,,,,,,,,Ｂ,Ｂ,Ｓ,Ａ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,亲蛮,故事,情理坚定,普通,义理,小心,小心,丁宁,普通,地方统一,临机应变,0,6,0,0,11,0,0,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
220,蓝玉,朱元璋,朱元璋,金陵,金陵,一般,,120,2000,92,86,56,20,37,291,100,1731,男,150,130,229,不自然死,220,,,,,1,87,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｓ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,疾驰,时节,普通,较高,实绩,猪突,莽撞,乱暴,普通,中华统一,漫不经心,0,53,71,111,112,112,112,255,255,255,255,255,255,648,,,,,,,,0,健康,,,0,0,0
221,马隆,,,寿春,寿春,未发现,,0,0,80,79,76,42,55,332,100,1172,男,150,130,229,自然死,221,,,,,1,28,,,,,,,,,,,,Ｂ,Ｂ,Ｓ,Ｂ,Ｓ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,射程,道理,情理坚定,普通,能力,刚胆,刚胆,普通,普通,现状维持,临机应变,0,75,55,75,103,102,103,255,255,255,255,255,255,104,,,,,,,,0,健康,,,0,0,0
222,周处,,,寿春,寿春,未发现,,0,0,69,85,66,73,62,355,100,1173,男,150,130,229,不自然死,222,,,,,1,35,,,,,,,,,,,,Ｃ,Ｂ,Ｃ,Ｂ,Ａ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,水将,故事,情理坚定,普通,义理,刚胆,刚胆,豪放,普通,中华统一,漫不经心,2,4,70,10,103,10,10,255,255,255,255,255,255,152,,,,,,,,0,健康,,,0,0,0
223,张方,,,寿春,寿春,未发现,,0,0,75,81,49,17,24,246,100,1174,男,150,130,229,不自然死,223,,,,,1,25,,,,,,,,,,,,Ｂ,Ｂ,Ｓ,Ａ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,掠夺,时节,普通,普通,实绩,猪突,莽撞,普通,普通,地方统一,漫不经心,0,75,80,74,255,93,92,255,255,255,255,255,255,8,,,,,,,,0,健康,,,0,0,0
224,苟唏,,,寿春,寿春,未发现,,0,0,82,72,60,70,37,321,100,1175,男,150,130,229,不自然死,224,,,,,1,27,,,,,,,,,,,,Ａ,Ｓ,Ａ,Ｂ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,司隶,铁壁,时节,普通,较高,能力,刚胆,刚胆,普通,普通,地方统一,漫不经心,0,26,25,94,255,93,94,255,255,255,255,255,255,184,,,,,,,,0,健康,,,0,0,0
225,赵匡胤,赵匡胤,赵匡胤,开封,开封,君主,,120,2000,90,88,80,99,110,467,100,1357,男,150,130,229,不自然死,225,2006,,,,1,60,柴荣,慕容延钊,赵普,潘美,,,,,,,,Ｓ,Ｓ,Ｓ,Ａ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,仁政,故事,普通,高,实绩,刚胆,刚胆,豪放,无视,地方统一,临机应变,0,62,62,62,62,62,62,62,62,255,255,255,255,760,,,,,,,,0,健康,,,0,0,0
226,王导,司马懿,司马懿,寿春,寿春,一般,,120,2000,48,34,82,96,91,351,100,2085,男,150,130,229,自然死,236,,,,,1,32,温峤,谢安,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,能吏,时节,情理坚定,普通,名声,小心,小心,丁宁,普通,地方统一,重视,0,98,93,89,255,89,89,255,255,255,255,255,255,632,,,,,,,,0,健康,,,0,0,0
227,司马师,司马懿,司马懿,寿春,寿春,一般,,120,2000,74,64,80,75,63,356,100,88,男,165,145,244,自然死,623,司马懿,,,,2,30,司马懿,司马昭,,,,,,,,,,Ａ,Ｂ,Ｂ,Ｂ,Ｃ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,司隶,,道理,普通,较高,能力,冷静,冷静,威严,无视,中华统一,临机应变,0,92,93,93,255,93,93,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
228,司马昭,司马懿,司马懿,寿春,寿春,一般,,120,2000,66,60,78,78,71,353,100,89,男,165,146,244,自然死,623,司马懿,,,,2,30,司马懿,司马师,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｂ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,司隶,,道理,无情义,高,能力,冷静,冷静,威严,无视,中华统一,临机应变,0,43,97,97,255,97,97,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
229,庾亮,司马懿,司马懿,寿春,寿春,一般,,120,2000,53,37,71,77,69,307,100,1178,男,150,130,229,自然死,229,,,,,1,31,温峤,,,,,,,,,,,Ｃ,Ｂ,Ｃ,Ｃ,Ｃ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,,道理,情理坚定,普通,名声,小心,小心,丁宁,普通,现状维持,重视,0,101,102,80,255,107,80,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
230,桓温,,,寿春,寿春,未发现,,0,0,91,76,90,68,60,385,100,1179,男,150,130,229,自然死,230,2001,,,,1,26,桓冲,,,,,,,,,,,Ｓ,Ｓ,Ａ,Ｂ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,虚实,时节,无情义,较高,能力,刚胆,刚胆,尊大,无视,中华统一,临机应变,0,5,80,3,103,3,3,255,255,255,255,255,255,232,,,,,,,,0,健康,,,0,0,0
231,谢玄,司马懿,司马懿,寿春,寿春,一般,,120,2000,95,57,80,72,85,389,100,1180,男,165,146,244,自然死,116,2012,,,,2,33,谢安,刘牢之,,,,,,,,,,Ｓ,Ｓ,Ａ,Ｂ,Ａ,Ｓ+10%,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,,道理,情理坚定,较低,能力,冷静,冷静,谦逊,普通,地方统一,重视,0,83,19,83,4,0,0,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
232,刘牢之,,,寿春,寿春,未发现,,0,0,78,92,61,13,47,291,100,1910,男,240,220,319,不自然死,232,,,,,1,33,谢玄,,,,,,,,,,,Ｓ,Ａ,Ｂ,Ｂ,Ｃ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,道理,无情义,普通,实绩,猪突,莽撞,乱暴,无视,地方统一,漫不经心,0,112,75,112,255,112,6,255,255,255,1,255,255,8,,,,,,,,0,健康,,,0,0,0
233,陶侃,司马懿,司马懿,寿春,寿春,一般,,120,2000,84,67,74,81,74,380,100,1182,男,150,130,229,自然死,233,,,,,1,34,周访,,,,,王敦,,,,,,Ｂ,Ｓ,Ａ,Ｃ,Ａ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,造船,道理,普通,普通,能力,小心,小心,殷勤,普通,地方统一,重视,0,102,97,44,255,112,112,255,255,255,255,255,255,744,,,,,,,,0,健康,,,0,0,0
234,刘琨,司马懿,司马懿,寿春,寿春,一般,,120,2000,68,73,72,73,86,372,100,1867,男,240,220,319,不自然死,635,,,,,7,34,温峤,祖逖,,,,,,,,,,Ａ,Ａ,Ａ,Ｂ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,奏乐,故事,情理坚定,普通,名声,刚胆,刚胆,普通,重视,州统一,临机应变,0,11,8,2,255,11,11,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
235,祖逖,司马懿,司马懿,寿春,寿春,一般,,120,2000,86,78,76,75,92,407,100,1184,男,150,130,229,自然死,235,,,,,1,34,刘琨,,,,,,,,,,,Ａ,Ｓ,Ａ,Ｂ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,攻心,故事,不会背叛,普通,实绩,冷静,冷静,殷勤,普通,中华统一,临机应变,0,39,39,110,112,0,110,255,255,255,255,255,255,744,,,,,,,,0,健康,,,0,0,0
236,王敦,司马懿,司马懿,寿春,寿春,一般,,120,2000,65,60,77,73,42,317,100,1185,男,150,130,229,自然死,236,,,,,1,32,,,,,,温峤,郗鉴,庾亮,陶侃,周访,,Ｂ,Ａ,Ｂ,Ｃ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,时节,无情义,高,名声,刚胆,刚胆,尊大,无视,地方统一,重视,0,5,75,103,103,103,103,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
237,温峤,司马懿,司马懿,寿春,寿春,一般,,120,2000,63,53,87,91,95,389,100,2025,男,150,130,229,自然死,237,,,,,1,33,王导,刘琨,庾亮,郗鉴,,王敦,,,,,,Ｂ,Ｂ,Ｂ,Ｂ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,機智,道理,不会背叛,普通,能力,冷静,冷静,殷勤,重视,地方统一,临机应变,0,74,80,89,255,89,89,255,255,255,255,255,255,736,,,,,,,,0,健康,,,0,0,0
238,郗鉴,司马懿,司马懿,寿春,寿春,一般,,120,2000,79,71,76,80,78,384,100,1187,男,150,130,229,自然死,238,,,,,1,29,温峤,,,,,王敦,,,,,,Ａ,Ｓ,Ａ,Ｃ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,操舵,道理,情理坚定,普通,实绩,刚胆,刚胆,殷勤,普通,地方统一,临机应变,0,20,79,93,85,93,93,255,255,255,255,255,255,616,,,,,,,,0,健康,,,0,0,0
239,谢艾,,,寿春,寿春,未发现,,0,0,87,38,88,70,61,344,100,2001,男,150,130,229,不自然死,239,,,,,1,25,,,,,,,,,,,,Ｓ,Ｂ,Ａ,Ａ,Ｓ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,沉著,故事,情理坚定,普通,能力,刚胆,刚胆,普通,普通,地方统一,重视,0,25,11,79,255,79,79,255,255,255,255,255,255,232,,,,,,,,0,健康,,,0,0,0
240,王羲之,司马懿,司马懿,寿春,寿春,一般,,120,2000,33,25,70,76,73,277,100,1189,男,165,145,244,自然死,226,,,,,2,32,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,精妙,故事,情理坚定,较低,义理,小心,小心,谦逊,普通,现状维持,重视,0,89,45,89,255,89,89,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
241,王坦之,司马懿,司马懿,寿春,寿春,一般,,120,2000,39,27,69,83,72,290,100,1190,男,150,130,229,自然死,241,,,,,1,28,谢安,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,故事,情理坚定,普通,名声,冷静,冷静,普通,普通,现状维持,重视,0,79,79,80,255,80,80,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
242,桓冲,,,寿春,寿春,未发现,,0,0,81,75,66,69,77,368,100,2044,男,150,131,229,自然死,230,2001,,,,1,26,桓温,,,,,,,,,,,Ｓ,Ａ,Ｂ,Ｃ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,掎角,时节,情理坚定,普通,能力,小心,小心,丁宁,普通,地方统一,临机应变,0,75,26,112,255,112,112,255,255,255,255,255,255,224,,,,,,,,0,健康,,,0,0,0
243,刘渊,刘渊,刘渊,晋阳,晋阳,君主,,120,2000,78,83,69,72,82,384,100,2015,男,180,160,259,自然死,260,,,,,3,140,石勒,王弥,刘曜,,,,,,,,,Ａ,Ｂ,Ａ,Ｓ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,射手,故事,普通,较高,名声,刚胆,刚胆,豪放,普通,中华统一,临机应变,0,71,80,93,85,93,71,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
244,刘聪,刘渊,刘渊,晋阳,晋阳,一般,,120,2000,70,89,55,51,47,312,100,1193,男,195,175,274,自然死,260,刘渊,,,,4,140,,,,,,,,,,,,Ｂ,Ｃ,Ａ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,怒发,道理,普通,较高,能力,猪突,莽撞,乱暴,普通,中华统一,漫不经心,0,36,112,30,76,30,6,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
